"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Crystal Systems","Space Groups","IMA Mineral Symbol","Paragenetic Modes"
"Magnesiokoritnigite","Magnesiokoritnigite","Mg(AsO<sub>3</sub>OH)·H<sub>2</sub>O","Mg As O H","2013","Approved","Koritnigite"," ","triclinic","P-1","Mkor","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Magnesioleydetite","Magnesioleydetite","Mg(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>2</sub>·11H<sub>2</sub>O","Mg U O S H","2017","Approved","Leydetite"," ","monoclinic","C2/c","Mley","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Magnesio-lucchesiite","Magnesio-lucchesiite","CaMg<sub>3</sub>Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>O","Ca Mg Al Si O B H","2019","Approved","Tourmaline"," ","hexagonal","R3m","Mlcc","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks"
"Magnesioneptunite","Magnesioneptunite","KNa<sub>2</sub>Li(Mg,Fe)<sub>2</sub>Ti<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>","K Na Li Mg Fe Ti Si O","2009","Approved","Neptunite"," ","monoclinic","C2/c","Mnpt","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Magnesionigerite-2<i>N</i>1S","Magnesionigerite-2N1S","(Mg,Al,Zn)<sub>2</sub>(Al,Sn)<sub>6</sub>O<sub>11</sub>(OH)","Mg Al Zn Sn O H","1988","Approved,Renamed","Hogbömite-Nigerite","nigerite","hexagonal","P-3m1","Mgng-2N1S","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Magnesionigerite-6<i>N</i>6S","Magnesionigerite-6N6S","(Mg,Al,Zn)<sub>3</sub>(Al,Sn,Fe)<sub>8</sub>O<sub>15</sub>(OH)","Mg Al Zn Sn Fe O H","1989","Approved,Renamed","Hogbömite-Nigerite","nigerite","hexagonal","R3m","Mgng-6N6S","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Magnesiopascoite","Magnesiopascoite","Ca<sub>2</sub>MgV<sup>5+</sup><sub>10</sub>O<sub>28</sub>·16H<sub>2</sub>O","Ca Mg V O H","2007","Approved","Pascoite"," ","monoclinic","C2/m","Mpas","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Magnesio-riebeckite","Magnesio-riebeckite","<span style=""border: 1px solid #333; font-size:7px;"">   </span>Na<sub>2</sub>(Mg<sub>3</sub>Fe<sup>3+</sup><sub>2</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Na Mg Fe Si O H","1957","Approved,Redefined","Amphibole","amphibole-group 4 Na","monoclinic","","Mrbk","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Magnesiorowlandite-(Y)","Magnesiorowlandite-(Y)","Y<sub>4</sub>(Mg,Fe)(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>F<sub>2</sub>","Y Mg Fe Si O F","2012","Approved","Rowlandite"," ","","","Mrow-Y","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Magnesiostaurolite","Magnesiostaurolite","Mg(Mg,Li)<sub>3</sub>(Al,Mg)<sub>18</sub>Si<sub>8</sub>O<sub>44</sub>(OH)<sub>4</sub>","Mg Li Al Si O H","1992","Approved","Staurolite","staurolite","monoclinic","C2/m","Mst","Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism"
"Magnesiotaaffeite-2<i>N</i>'2S","Magnesiotaaffeite-2N2S","Mg<sub>3</sub>BeAl<sub>8</sub>O<sub>16</sub>","Mg Be Al O","1951","Approved,Renamed","Taaffeite-Magnesiotaaffeite","taaffeite","hexagonal","P6_3mc","Mtf-2N'2S","Abiotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Magnesiotaaffeite-6<i>N</i>'3S","Magnesiotaaffeite-6N3S","Mg<sub>2</sub>BeAl<sub>6</sub>O<sub>12</sub>","Mg Be Al O","1966","Approved,Renamed","Taaffeite-Magnesiotaaffeite","taaffeite","hexagonal","R-3m","Mtf- 6N'3S","Abiotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Magnesiovesuvianite","Magnesiovesuvianite","Ca<sub>19</sub>Mg(Al<sub>11</sub>Mg)Si<sub>18</sub>O<sub>69</sub>(OH)<sub>9</sub>","Ca Mg Al Si O H","2015","Approved","Vesuvianite"," ","tetragonal","P4/n","Mves","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization"
"Magnesiovoltaite","Magnesiovoltaite","K<sub>2</sub>Mg<sub>5</sub>Fe<sup>3+</sup><sub>3</sub>Al(SO<sub>4</sub>)<sub>12</sub>·18H<sub>2</sub>O","K Mg Fe Al S O H","2015","Approved","Voltaite"," ","cubic","Fd3c","Mvlt","Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering"
"Magnesiozippeite","Magnesiozippeite","Mg(UO<sub>2</sub>)<sub>2</sub>(SO<sub>4</sub>)O<sub>2</sub>·3.5H<sub>2</sub>O","Mg U O S H","1971","Approved,Redefined","Zippeite","zippeite","monoclinic","C2/m|P2_1/c","Mzip","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Magnesite","Magnesite","Mg(CO<sub>3</sub>)","Mg C O","1808","Approved","Calcite","calcite","hexagonal","R-3c|R-3","Mgs","Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM25 - Evaporites (prebiotic), PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM39 - High-P metamorphism, PM40 - Regional metamorphism, Stage 6: Anoxic biosphere, PM44 - Anoxic microbially-mediated minerals, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
"Magnetite","Magnetite","Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>","Fe O","1789","Approved,Grandfathered","Spinel","spinel","cubic","Fd3m|F-43m, Fd-3m","Mag","Abiotic, Biotic, Primary, Secondary; Stage 0: Pre-terrestrial Ur-minerals, PM1 - Stellar atmosphere condensates, Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, PM6 - Secondary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, Stage 3b: Earth's earliest hydrosphere, PM15 - Black smokers, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM21 - Chemical precipitation, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM40 - Regional metamorphism, Stage 6: Anoxic biosphere, PM44 - Anoxic microbially-mediated minerals, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
"Magnetoplumbite","Magnetoplumbite","PbFe<sup>3+</sup><sub>12</sub>O<sub>19</sub>","Pb Fe O","1925","Approved,Redefined","Magnetoplumbite","plumboferrite","hexagonal","P6_3/mmc","Mpl","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Magnioursilite","Magnioursilite","Mg<sub>4</sub>(UO<sub>2</sub>)<sub>4</sub>(Si<sub>2</sub>O<sub>5</sub>)<sub>5</sub>(OH)<sub>6</sub>·20H<sub>2</sub>O","Mg U O Si H","1957","Approved,Grandfathered","Ursilite"," ","orthorhombic","","Mau","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Magnolite","Magnolite","Hg<sup>1+</sup><sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)","Hg Te O","1877","Approved,Grandfathered"," "," ","orthorhombic","Pbm2","Mno","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Magnussonite","Magnussonite","Mn<sup>2+</sup><sub>10</sub>As<sup>3+</sup><sub>6</sub>O<sub>18</sub>(OH,Cl)<sub>2</sub>","Mn As O H Cl","1957","Approved,Redefined","Magnussonite"," ","cubic","Ia-3d","Mnu","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Mahnertite","Mahnertite","(Na,Ca,K)Cu<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>Cl·5H<sub>2</sub>O","Na Ca K Cu As O Cl H","1994","Approved"," "," ","tetragonal","I4/mmm","Mah","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Maikainite","Maikainite","Cu<sub>10</sub>Fe<sub>3</sub>MoGe<sub>3</sub>S<sub>16</sub>","Cu Fe Mo Ge S","1992","Approved","Sphalerite, Germanite","germanite","cubic","","Mai","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Majakite","Majakite","PdNiAs","Pd Ni As","1974","Approved"," "," ","hexagonal","P-62c","Mjk","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
"Majindeite","Majindeite","Mg<sub>2</sub>Mo<sub>3</sub>O<sub>8</sub>","Mg Mo O","2012","Approved","Nolanite"," ","hexagonal","P6_3mc","Mjd","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
"Majorite","Majorite","Mg<sub>3</sub>(MgSi)(SiO<sub>4</sub>)<sub>3</sub>","Mg Si O","1969","Approved","Garnet","garnet","tetragonal|cubic","I4_1/a|I4_1/acd","Maj","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism"
"Majzlanite","Majzlanite","K<sub>2</sub>Na(ZnNa)Ca(SO<sub>4</sub>)<sub>4</sub>","K Na Zn Ca S O","2018","Approved","Not in a structural group"," ","monoclinic","C2/c","Mjz","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Makarochkinite","Makarochkinite","Ca<sub>4</sub>[Fe<sup>2+</sup><sub>8</sub>Fe<sup>3+</sup><sub>2</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>8</sub>Be<sub>2</sub>Al<sub>2</sub>O<sub>36</sub>]","Ca Fe Ti O Si Be Al","2002","Approved","Sapphirine","aenigmatite","triclinic","P-1","Mkr","Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Makatite","Makatite","Na<sub>2</sub>Si<sub>4</sub>O<sub>8</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O","Na Si O H","1969","Approved"," "," ","monoclinic","P2_1/c","Mkt","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Mäkinenite","Makinenite","NiSe","Ni Se","1964","Approved","Millerite"," ","hexagonal","R3m","Mkn","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Makotoite","Makotoite","Ag<sub>12</sub>(Cu<sub>3</sub>Au)S<sub>8</sub>","Ag Cu Au S","2020","Approved,Pending publication","Uytenbogaardtite"," ","hexagonal","R-3c","Mako","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Makovickyite","Makovickyite","Cu<sub>1.12</sub>Ag<sub>0.81</sub>Pb<sub>0.27</sub>Bi<sub>5.35</sub>S<sub>9</sub>","Cu Ag Pb Bi S","1986","Approved","Pavonite","benjaminite","monoclinic","C2/m","Mvk","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Malachite","Malachite","Cu<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>2</sub>","Cu C O H","0","Approved,Grandfathered","Malachite","rosasite","monoclinic","P2_1/a","Mlc","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
"Malanite","Malanite","Cu<sup>1+</sup>(Ir<sup>3+</sup>Pt<sup>4+</sup>)S<sub>4</sub>","Cu Ir Pt S","1995","Approved,Redefined","Spinel","linnaeite","cubic","Fd3m","Mla","Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
"Malayaite","Malayaite","CaSnO(SiO<sub>4</sub>)","Ca Sn O Si","1964","Approved","Titanite","titanite","monoclinic","A2/a","Mly","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Maldonite","Maldonite","Au<sub>2</sub>Bi","Au Bi","1869","Approved,Grandfathered"," "," ","cubic","Fd3m","Mdo","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Maleevite","Maleevite","BaB<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>","Ba B Si O","2002","Approved","Danburite","danburite","orthorhombic","Pnma","Mle","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Maletoyvayamite","Maletoyvayamite","Au<sub>3</sub>Se<sub>4</sub>Te<sub>6</sub>","Au Se Te","2019","Approved","Maletoyvayamite"," ","triclinic","P-1","Mty","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Malhmoodite","Malhmoodite","Fe<sup>2+</sup>Zr(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O","Fe Zr P O H","1992","Approved,Renamed","Malhmoodite"," ","triclinic|monoclinic","P2_1/c|P-1","Mmo","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Malinkoite","Malinkoite","NaBSiO<sub>4</sub>","Na B Si O","2000","Approved","Beryllonite"," ","hexagonal","P6_3","Mlk","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Malladrite","Malladrite","Na<sub>2</sub>SiF<sub>6</sub>","Na Si F","1926","Approved,Grandfathered","Malladrite"," ","hexagonal","P321","Mld","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Mallardite","Mallardite","Mn(SO<sub>4</sub>)·7H<sub>2</sub>O","Mn S O H","1879","Approved,Grandfathered","Melanterite","melanterite","monoclinic","P2_1/c","Mal","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Mallestigite","Mallestigite","Pb<sub>3</sub>Sb(SO<sub>4</sub>)(AsO<sub>4</sub>)(OH)<sub>6</sub>·3H<sub>2</sub>O","Pb Sb S O As H","1996","Approved","Fleischerite","fleischerite","hexagonal","P6_3|P6_322","Mlg","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
"Malyshevite","Malyshevite","PdCuBiS<sub>3</sub>","Pd Cu Bi S","2006","Approved","Lapieite","lapieite","orthorhombic","","Mys","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Mambertiite","Mambertiite","BiMo<sup>5+</sup><sub>2.8</sub>O<sub>8</sub>(OH)","Bi Mo O H","2013","Approved","Gelosaite"," ","triclinic","P-1","Mam","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Mammothite","Mammothite","Pb<sub>6</sub>Cu<sub>4</sub>AlSb<sup>5+</sup>O<sub>2</sub>(SO<sub>4</sub>)<sub>2</sub>Cl<sub>4</sub>(OH)<sub>16</sub>","Pb Cu Al Sb O S Cl H","1983","Approved"," "," ","monoclinic","C2/m","Mm","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
"Manaevite-(Ce)","Manaevite-(Ce)","Ca<sub>11</sub>(Ce,H<sub>2</sub>O,Ca)<sub>8</sub>Mg(Al,Fe)<sub>4</sub>(Mg,Ti,Fe<sup>3+</sup>)<sub>8</sub>[Si<sub>2</sub>O<sub>7</sub>]<sub>4</sub>[(SiO<sub>4</sub>)<sub>8</sub>(H<sub>4</sub>O<sub>4</sub>)<sub>2</sub>](OH)<sub>9</sub>","Ca Ce H O Mg Al Fe Ti Si","2018","Approved","Vesuvianite"," ","tetragonal","P4/nnc","Mv-Ce","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Manaksite","Manaksite","KNaMn<sup>2+</sup>Si<sub>4</sub>O<sub>10</sub>","K Na Mn Si O","1990","Approved","Litidionite","lithidionite","triclinic","P-1","Mnk","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Manandonite","Manandonite","Li<sub>2</sub>Al<sub>4</sub>(Si<sub>2</sub>AlB)O<sub>10</sub>(OH)<sub>8</sub>","Li Al Si B O H","1912","Approved,Grandfathered","Serpentine, Clay","kaolinite-serpentine-serpentine subgroup","triclinic","C1","Mnd","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Mandarinoite","Mandarinoite","Fe<sup>3+</sup><sub>2</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>3</sub>·6H<sub>2</sub>O","Fe Se O H","1977","Approved","Mandarinoite"," ","monoclinic","P2_1/c","Mda","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Maneckiite","Maneckiite","(Na<span style=""border: 1px solid #333; font-size:7px;"">   </span>)Ca<sub>2</sub>Fe<sup>2+</sup><sub>2</sub>(Fe<sup>3+</sup>Mg)Mn<sub>2</sub>(PO<sub>4</sub>)<sub>6</sub>·2H<sub>2</sub>O","Na Ca Fe Mg Mn P O H","2015","Approved","Wicksite"," ","orthorhombic","Pcab","Mnc","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Manganarsite","Manganarsite","Mn<sup>2+</sup><sub>3</sub>As<sup>3+</sup><sub>2</sub>O<sub>4</sub>(OH)<sub>4</sub>","Mn As O H","1985","Approved"," "," ","hexagonal","","Mna","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Manganbabingtonite","Manganbabingtonite","Ca<sub>2</sub>Mn<sup>2+</sup>Fe<sup>3+</sup>Si<sub>5</sub>O<sub>14</sub>(OH)","Ca Mn Fe Si O H","1966","Approved","Rhodonite","rhodonite","triclinic","P-1","Mbab","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Manganbelyankinite","Manganbelyankinite","Mn<sup>2+</sup>(Ti,Nb)<sub>5</sub>O<sub>12</sub>·9H<sub>2</sub>O","Mn Ti Nb O H","1957","Approved,Questionable mineral species"," "," ","amorphous","","Mbyn","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Manganberzeliite","Manganberzeliite","(NaCa<sub>2</sub>)Mn<sup>2+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>","Na Ca Mn As O","1878","Approved,Grandfathered","Garnet","berzeliite","cubic","Ia3d","Mbzl","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Manganflurlite","Manganflurlite","ZnMn<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>7</sub>·2H<sub>2</sub>O","Zn Mn Fe P O H","2017","Approved","Flurlite"," ","monoclinic","P2_1/m","Mflu","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Mangangordonite","Mangangordonite","Mn<sup>2+</sup>Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O","Mn Al P O H","1989","Approved","Laueite","stewartite","triclinic","P-1","Mgdo","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Manganhumite","Manganhumite","Mn<sup>2+</sup><sub>7</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)<sub>2</sub>","Mn Si O H","1969","Approved","Humite","humite-reinhardbraunsite subgroup","orthorhombic","Pbnm","Mnhu","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Manganiakasakaite-(La)","Manganiakasakaite-(La)","CaLa(Mn<sup>3+</sup>AlMn<sup>2+</sup>)(Si<sub>2</sub>O<sub>7</sub>)(SiO<sub>4</sub>)O(OH)","Ca La Mn Al Si O H","2017","Approved","Epidote"," ","monoclinic","P2_1/m","Mnak-La","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Manganiandrosite-(Ce)","Manganiandrosite-(Ce)","MnCe(Mn<sup>3+</sup>AlMn<sup>2+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH)","Mn Ce Al Si O H","2002","Approved","Epidote, allanite","epidote","monoclinic","P2_1/m","Mna-Ce","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Manganiandrosite-(La)","Manganiandrosite-(La)","MnLa(Mn<sup>3+</sup>AlMn<sup>2+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH)","Mn La Al Si O H","1994","Approved,Renamed","Epidote, allanite","epidote","monoclinic","P2_1/m","Mna-La","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Manganiceladonite","Manganiceladonite","KMgMn<sup>3+</sup>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>","K Mg Mn Si O H","2015","Approved","Mica, Clay"," ","monoclinic","C2","Mcel","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Mangani-dellaventuraite","Mangani-dellaventuraite","NaNa<sub>2</sub>(MgMn<sup>3+</sup><sub>2</sub>Ti<sup>4+</sup>Li)Si<sub>8</sub>O<sub>22</sub>O<sub>2</sub>","Na Mg Mn Ti Li Si O","2003","Approved,Redefined","Amphibole","amphibole-group 4 Na","monoclinic","C2/m","Mdv","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Manganilvaite","Manganilvaite","CaFe<sup>2+</sup>Fe<sup>3+</sup>Mn<sup>2+</sup>(Si<sub>2</sub>O<sub>7</sub>)O(OH)","Ca Fe Mn Si O H","2002","Approved","Ilvaite"," ","monoclinic","P2_1/a","Mlv","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Mangani-obertiite","Mangani-obertiite","NaNa<sub>2</sub>(Mg<sub>3</sub>Mn<sup>3+</sup>Ti<sup>4+</sup>)Si<sub>8</sub>O<sub>22</sub>O<sub>2</sub>","Na Mg Mn Ti Si O","1998","Approved,Redefined","Amphibole","amphibole-group 4 Na","monoclinic","C2/m","Mob","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
"Mangani-pargasite","Mangani-pargasite","NaCa<sub>2</sub>(Mg<sub>4</sub>Mn<sup>3+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>","Na Ca Mg Mn Si Al O H","2019","Approved,Pending publication","Amphibole"," ","monoclinic","C2/m","Mprg","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Manganite","Manganite","Mn<sup>3+</sup>O(OH)","Mn O H","1826","Approved,Grandfathered","Rutile"," ","monoclinic|orthorhombic","B2_1/d|Pnnm, P2_1/c","Mnn","Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM24 - Authigenic minerals in terrestrial sediments, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
